question_id,content
65102009,头痛恶心肌肉痛关节痛颈部淋巴结疼痛怎么回事啊
44275784,我怀孕37周，肠子一直呼噜呼噜叫感觉像是在里面灌水，上厕所拉稀和喷水一样，一天上厕所5次，对孩子有啥影响，应该怎么办？
42163349,男，67岁，2天前突然出现右小腿（类似抽筋症状），现出现右小腿消肿，有指压痕，无，请问可能是什么疾病，该如何诊治
67935540,怀孕前两个月照了CT和X光，来两次月经后怀孕了，怀孕期间有轻微盆腔积水吃了两瓶杏香兔耳片。请问这对孩子影响有多大
33429289,阴囊湿冷阳痿早泻请问用点什么药
28517513,发烧全身发烫怎么办？能不能开空调的啊？？开始是全身无力，吃了药好了点。晚上睡觉空调开起来的，早上身体很烫。
24279043,怀孕30周了，照了彩超，宝宝脐带绕颈已周，头位？怀孕30周了，照了彩超，宝宝脐带绕颈已周，头位在下腹，这几天胎动明显减少，去医院听了胎音是正常的，但是心里还是很担心，请问有问题吗。
46574274,脚孤拐外侧肿胀疼痛怎么办用个什么药？
56439498,问题描述:我射精的时候精子射出来的那一瞬间阴茎下面很痛有时候小便也有一点点痛但没射精时那么厉害就想刺刺的一样请问是怎么搞的
37489044,为什么抽完血后会出现头晕、四肢无力脸色发白冒汗等现象？、请问为什么我抽完血后会出现头晕、四肢无力脸色发白和冒汗这些现象？是不是我身体里供血不足？谢谢
69405949,痔疮手术后胀痛用什么药好
64191738,我月经是2月26来的，3月6号左右，同房了，期间14也同房了，每月都正常月经的，但是现在都4月5都来了，月经还没来，我没有任何感觉，就是觉得小腹偶尔隐隐作痛小小，可以忍受，这样说，我是什么状况了？
27730378,双顶径7。0股骨长4。6心率羊水最大深度6。0，成熟度0级zenmeban
57905863,我家宝宝5个半月了。拉肚子。感冒。发热。也吃药。打针了。可是白天不发热，一到晚上就发热。这都4天了。需不需要去大医院。
24613973,最近这两天右手大母指和食指常常不自觉的抖，这是什么原因
26495367,宝宝最近总是想呕吐？一转圈就想吐，但又吐不出来。
15325252,脸上有痘痘，额头上不多，就是右边脸上多，不知道怎么办？
25353647,大便出血是怎么回事，该怎么治疗。大便滴血怎么办大便出血，鲜红色，量多。大便完后马桶里的水都是鲜红色。大便时肛门有疼痛的感觉。大便不畅。一般四天到一个星期一次大便。想尽快的好起来，痛得厉害有什么药能治好吗
34532444,坐车时突然浑身发麻先是觉得喘不过气，很快觉得双手发麻，然后全身都发麻了。双手很难弯曲，走路迈不开步。下车休息了一会然后坐到了前排通风的地方，十分钟左右基本恢复。（另当时很饿。）我之前也偶有睡觉腿麻、双手轻微发麻的情况。另外脚、手发凉。请问可能是什么引起的？
67604358,怀孕53天，有2次自然流产是不是正常，孕酮27
69252842,自体植发后要恢复多久呢？自体植发后要恢复多久呢？
24982629,30天流产，自然流的很干净，可以早点要孩子吗？怀孕35天的时候腹部疼痛自然流产，流了3天左右，医生说很干净不用再刮宫了。我想问问我这种情况，是不是伤害较小，可不可以3个月以内要宝宝？子宫可以恢复不？
10751501,全部症状：皮肤突然烧痒麻木还有皮肤发热情况有时候呼吸不畅发病时间及原因：这两天治疗情况：在医院拿里些药吃没明显效果
16057386,我妈妈是糖尿病肝肿瘤患者现在出现贫血症状红细胞低血小板少铁蛋白高达五百多我该怎么办
61300795,我需要洗牙，不知道是不是要先预约呢之前没有洗过牙洗牙需要预约吗，还是直接去
55762801,害怕打针抽血，每次抽血我都会晕，怎么办呢？害怕打针抽血，每次抽血我都会晕无过两天要公务员体检，还要抽血，怎么能不晕啊？
42404783,我妈妈查出有心脏病，还有早搏，医生给他开了稳心颗粒和盐酸美西律片，吃了以后就恶心，呕吐，头晕，手脚无力，还颤动，是怎么回事，已经两个多小时了，有危险吗？，
45214259,肩膀晒伤后脱皮了、疲惫我撕掉了。现在的皮肤像长了白斑一样好恶心啊怎么办啊肩膀晒伤后脱皮了、疲惫我撕掉了。现在的皮肤像长了白斑一样好恶心啊怎么办啊
21283916,大便不出是痔疮吗？请问一下，我大便拉不下来了，是得了痔疮吗？无大便不出是痔疮吗？
4540033,寻麻疹，吃抗过敏药后手心出汗
57962823,宝宝现在一岁半，发生过4到5次了，都是在夜里睡觉的时候呕吐，白天没事，也挺活泼的:
7233038,胃酸反胃听了刺激性味道恶心
29811304,说话鼻音很重的原因我儿子前几天才做了增值体和扁桃体的手术，现在说话鼻音很重，是正常现像吗
59255505,全身无力心跳很快全身无力心跳很快
46010369,怀孕四个多月了住在刚装修好的房子里，昨天找了去甲醛的公司做了一次冶理也不知道有没有效果，气味还是很怀孕四个多月了住在刚装修好的房子里，昨天找了去甲醛的公司做了一次冶理也不知道有没有效果，气味还是很大真不知道还应不应该在住下去，可是不住又没别的地方住，真不知道该怎么办？
62040039,心脏病吃什么药管用。家中常备什么药
68143396,医生，请问口腔温度37。3正常吗？
59106149,如果月经来的前两天做爱会怀孕吗但月经如期而至了
37095094,北医三院生殖中心网上预约挂，女方，28岁，例假正常{28-35天}、六项激素正常、输卵管做过通水试验也通，血清也正常，子宫做了B超，也正常，可是诸多正常就是一直不孕。男方有一男孩。在地方三甲医院做的检查，全正常。帮忙检查是不是不孕不育症，我们该怎么做检查，该怎样有一个健康的宝宝。
5505700,那就是说我还需要做检查那么需要做哪些检查呢
20040076,我就是头晕手脚抽筋时怎么回事呢
21281070,朋友结婚喝酒之后吃油腻东西恶心想吐四月六号到四月二十五号，主要症状恶心
16816257,咳嗽一个多月，用过几样咳嗽药和抗生素，时好时坏反复无常。咳嗽时还漏尿真烦恼。
50934971,肺炎期间发热要去医院打针吗一直咳嗽还有痰，发热。
14435405,宝宝老是低烧加咳嗽怎么办
35641832,我这样会怀孕吗~不能悬赏大家帮帮我吧第二天吃了紧急避孕药，没有任何不良反应，本来该昨天来月经没有来，这几天早上都有痛经的感觉，但是我百度说可能是宫外孕导致的疼痛。会怀孕吗？各位大神求助~我没有那个币了不能悬赏了
55468187,丝袜手淫阴茎没睡好医生这两周，第一周我用干的丝袜套住阴茎手淫两次。第二周我用干的丝袜套住阴茎手淫两次，湿的丝袜套住阴茎手淫一次。丝袜是用肥皂洗过的，不知道阴茎会不会霉菌感染或者感染别的什么疾病。因为丝袜的套住，精液射出的时候五次都被丝袜堵住了，最近还睡眠不足。请问医生我该怎么办，我好担心
64698821,怀孕三个多月感冒，咽喉痛的非常厉害，晚上都不能睡觉，还伴有咳嗽，头痛。该怎么办？
26513510,1。主要病症：容易疲劳，背部容易酸痛，站的时间久了也会腰痛，以前去看中医说是腰肌劳损（拍片也没效果）2。发病时间：大概2年左右（年龄24-25周岁）3。过往病史：中耳炎，其他无
45415660,怀孕六个多月了，B超胎儿左右侧脑室宽约0。95CM，请问有什么问题吗？是什么原因引起的呢？这样对胎儿以后有什么影响吗？是什么原因引起的呢？这样对胎儿以后有什么影响吗？
51862220,最近老是左右头疼头晕还耳聋耳鸣
7469404,全部症状：眼角发热眼皮发困而且流泪怕光发病时间及原因：5天治疗情况
60684336,体寒是不是不容易怀孕和男朋友在一起两年没有任何避孕措施，也没有怀孕，男朋友身体健康，就是我是寒性体质，是不是不容易怀孕啊。以前吃过中药，是不寒气的，也没有用
63999055,大姨妈的前几天就一直流跟白带一样的带血色的东西。
19597013,房事后及时清洗并排尿，还有怀孕吗？
